Date,RAT,MAT,OAT,SFS
2019-05-24 12:15:00,77.77,,,
2019-05-24 12:20:00,,,49.18,
2019-05-24 12:25:00,,,49.31,
2019-05-24 12:30:00,,,49.67,
2019-05-24 12:30:00,,68.31,,
2019-05-24 12:30:00,77.45,,,
2019-05-24 12:35:00,,,49.99,
2019-05-24 12:40:00,,,50.27,
2019-05-24 12:45:00,,,50.13,
2019-05-24 12:45:00,,67.78,,
2019-05-24 12:45:00,76.96,,,
2019-05-24 12:50:00,,,49.79,
2019-05-24 12:55:00,,,49.5,
2019-05-24 13:00:00,,,49.06,
2019-05-24 13:00:00,,67.78,,
2019-05-24 13:00:00,77.63,,,
2019-05-24 13:05:00,,,48.67,
2019-05-24 13:10:00,,,48.39,
2019-05-24 13:15:00,,,48.34,
2019-05-24 13:15:00,,67.07,,
2019-05-24 13:15:00,77.05,,,
2019-05-24 13:20:00,,,48.6,
2019-05-24 13:25:00,,,48.67,
2019-05-24 13:30:00,,,48.72,
2019-05-24 13:30:00,,63.27,,
2019-05-24 13:30:00,76.72,,,
2019-05-24 13:35:00,,,48.68,
2019-05-24 13:40:00,,,48.67,
2019-05-24 13:45:00,,,48.81,
2019-05-24 13:45:00,,67.47,,
2019-05-24 13:45:00,76.68,,,
2019-05-24 13:50:00,,,48.7,
2019-05-24 13:55:00,,,48.8,
2019-05-24 14:00:00,,,48.81,
2019-05-24 14:00:00,,68.62,,
2019-05-24 14:00:00,77.98,,,
2019-05-24 14:05:00,,,48.73,
2019-05-24 14:10:00,,,48.87,
2019-05-24 14:15:00,,,48.89,
2019-05-24 14:15:00,,69.24,,
2019-05-24 14:15:00,78.68,,,
2019-05-24 14:20:00,,,48.71,
2019-05-24 14:25:00,,,48.51,
2019-05-24 14:30:00,,,48.38,
2019-05-24 14:30:00,,69.68,,
2019-05-24 14:30:00,79.2,,,
2019-05-24 14:35:00,,,48.08,
2019-05-24 14:40:00,,,48.1,
2019-05-24 14:45:00,,,48.08,
2019-05-24 14:45:00,,69.99,,
2019-05-24 14:45:00,79.59,,,
2019-05-24 14:50:00,,,47.79,
2019-05-24 14:55:00,,,47.68,
2019-05-24 15:00:00,,,47.57,
2019-05-24 15:00:00,,70.1,,
2019-05-24 15:00:00,79.81,,,
2019-05-24 15:05:00,,,47.41,
2019-05-24 15:10:00,,,47.23,
2019-05-24 15:15:00,,,47.2,
2019-05-24 15:15:00,,70.26,,
2019-05-24 15:15:00,80.13,,,
2019-05-24 15:20:00,,,47.26,
2019-05-24 15:25:00,,,47.16,
2019-05-24 15:30:00,,,46.99,
2019-05-24 15:30:00,,54.62,,
2019-05-24 15:30:00,79.49,,,
2019-05-24 15:35:00,,,47.05,
2019-05-24 15:40:00,,,47.22,
2019-05-24 15:45:00,,,47.35,
2019-05-24 15:45:00,,67.72,,
2019-05-24 15:45:00,77.94,,,
2019-05-24 15:50:00,,,47.23,
2019-05-24 15:55:00,,,47.23,
2019-05-24 16:00:00,,,47.33,
2019-05-24 16:00:00,,67.25,,
2019-05-24 16:00:00,77.36,,,
2019-05-24 16:05:00,,,47.39,
2019-05-24 16:10:00,,,47.38,
2019-05-24 16:15:00,,,47.37,
2019-05-24 16:15:00,,66.56,,
2019-05-24 16:15:00,77.19,,,
2019-05-24 16:20:00,,,47.5,
2019-05-24 16:25:00,,,47.71,
2019-05-24 16:30:00,,,47.71,
2019-05-24 16:30:00,,63.11,,
2019-05-24 16:30:00,77.11,,,
2019-05-24 16:35:00,,,47.74,
2019-05-24 16:40:00,,,47.89,
2019-05-24 16:45:00,,,48.1,
2019-05-24 16:45:00,,67.44,,
2019-05-24 16:45:00,76.9,,,
2019-05-24 16:50:00,,,48.33,
2019-05-24 16:55:00,,,48.44,
2019-05-24 17:00:00,,,48.59,
2019-05-24 17:00:00,,67.4,,
2019-05-24 17:00:00,76.87,,,
2019-05-24 17:05:00,,,48.81,
2019-05-24 17:10:00,,,48.89,
2019-05-24 17:15:00,,,48.88,
2019-05-24 17:15:00,,67.78,,
2019-05-24 17:15:00,77.2,,,
2019-05-24 17:20:00,,,49.06,
2019-05-24 17:25:00,,,49.05,
2019-05-24 17:30:00,,,49.16,
2019-05-24 17:30:00,,67.39,,
2019-05-24 17:30:00,76.7,,,
2019-05-24 17:35:00,,,49.16,
2019-05-24 17:40:00,,,49.21,
2019-05-24 17:45:00,,,49.24,
2019-05-24 17:45:00,,68.13,,
2019-05-24 17:45:00,77.14,,,
2019-05-24 17:50:00,,,49.33,
2019-05-24 17:55:00,,,49.39,
2019-05-24 18:00:00,,,49.59,
2019-05-24 18:00:00,,68.91,,
2019-05-24 18:00:00,78.2,,,
2019-05-24 18:02:00,,,,Off
2019-05-24 18:05:00,,,49.61,
2019-05-24 18:10:00,,,49.71,
2019-05-24 18:15:00,,,49.74,
2019-05-24 18:15:00,,85.68,,
2019-05-24 18:15:00,77.14,,,
2019-05-24 18:20:00,,,49.82,
2019-05-24 18:25:00,,,49.93,
2019-05-24 18:30:00,,,49.95,
2019-05-24 18:30:00,,87.17,,
2019-05-24 18:30:00,76.17,,,
2019-05-24 18:35:00,,,49.98,
2019-05-24 18:40:00,,,50.0,
2019-05-24 18:45:00,,,50.05,
2019-05-24 18:45:00,,84.23,,
2019-05-24 18:45:00,75.47,,,
2019-05-24 18:50:00,,,50.14,
2019-05-24 18:55:00,,,50.12,
2019-05-24 19:00:00,,,49.97,
2019-05-24 19:00:00,,81.41,,
2019-05-24 19:00:00,74.96,,,
2019-05-24 19:05:00,,,49.98,
2019-05-24 19:10:00,,,50.11,
2019-05-24 19:15:00,,,49.96,
2019-05-24 19:15:00,,78.84,,
2019-05-24 19:15:00,74.44,,,
2019-05-24 19:20:00,,,49.86,
2019-05-24 19:25:00,,,49.91,
2019-05-24 19:30:00,,,49.85,
2019-05-24 19:30:00,,76.88,,
2019-05-24 19:30:00,74.15,,,
2019-05-24 19:35:00,,,49.76,
2019-05-24 19:40:00,,,49.61,
2019-05-24 19:45:00,,,49.52,
2019-05-24 19:45:00,,75.14,,
2019-05-24 19:45:00,72.71,,,
2019-05-24 19:50:00,,,49.48,
2019-05-24 19:55:00,,,49.35,
2019-05-24 20:00:00,,,49.36,
2019-05-24 20:00:00,,73.6,,
2019-05-24 20:00:00,71.79,,,
2019-05-24 20:05:00,,,49.27,
2019-05-24 20:10:00,,,49.34,
2019-05-24 20:15:00,,,49.27,
2019-05-24 20:15:00,,72.5,,
2019-05-24 20:15:00,70.79,,,
2019-05-24 20:20:00,,,49.2,
2019-05-24 20:25:00,,,49.02,
2019-05-24 20:30:00,,,48.99,
2019-05-24 20:30:00,,71.48,,
2019-05-24 20:30:00,70.02,,,
2019-05-24 20:35:00,,,48.89,
2019-05-24 20:40:00,,,48.76,
2019-05-24 20:45:00,,,48.66,
2019-05-24 20:45:00,,70.68,,
2019-05-24 20:45:00,69.15,,,
2019-05-24 20:50:00,,,48.61,
2019-05-24 20:55:00,,,48.41,
2019-05-24 21:00:00,,,48.28,
2019-05-24 21:00:00,,70.02,,
2019-05-24 21:00:00,68.44,,,
2019-05-24 21:05:00,,,48.11,
2019-05-24 21:10:00,,,48.08,
2019-05-24 21:15:00,,,47.93,
2019-05-24 21:15:00,,69.31,,
2019-05-24 21:15:00,67.9,,,
2019-05-24 21:20:00,,,47.73,
2019-05-24 21:25:00,,,47.43,
2019-05-24 21:30:00,,,47.32,
2019-05-24 21:30:00,,68.91,,
2019-05-24 21:30:00,67.36,,,
2019-05-24 21:35:00,,,47.16,
2019-05-24 21:40:00,,,46.98,
2019-05-24 21:45:00,,,46.94,
2019-05-24 21:45:00,,68.43,,
2019-05-24 21:45:00,66.85,,,
2019-05-24 21:50:00,,,46.72,
2019-05-24 21:55:00,,,46.63,
2019-05-24 22:00:00,,,46.6,
2019-05-24 22:00:00,,68.19,,
2019-05-24 22:00:00,66.44,,,
2019-05-24 22:05:00,,,46.55,
2019-05-24 22:10:00,,,46.37,
2019-05-24 22:15:00,,,46.11,
2019-05-24 22:15:00,,67.9,,
2019-05-24 22:15:00,66.14,,,
2019-05-24 22:20:00,,,45.88,
2019-05-24 22:25:00,,,45.69,
2019-05-24 22:30:00,,,45.51,
2019-05-24 22:30:00,,67.72,,
2019-05-24 22:30:00,65.9,,,
2019-05-24 22:35:00,,,45.36,
2019-05-24 22:40:00,,,45.22,
2019-05-24 22:45:00,,,45.14,
2019-05-24 22:45:00,,67.66,,
2019-05-24 22:45:00,65.68,,,
2019-05-24 22:50:00,,,45.03,
