Date,OAT,RAT,MAT
9/21/2017 8:10,71.29533,72.55018,70.58738
9/21/2017 8:20,71.59914,72.55018,70.88651
9/21/2017 8:30,71.91952,72.55018,71.18472
9/21/2017 8:40,72.22428,72.55018,71.18472
9/21/2017 8:50,72.22428,72.55018,71.18472
9/21/2017 9:00,72.52308,72.55018,71.48452
9/21/2017 9:10,72.82288,72.55018,71.78241
9/21/2017 9:20,73.43112,72.55018,71.78241
9/21/2017 9:30,73.10641,72.55018,71.78241
9/21/2017 9:40,73.10641,72.55018,71.78241
9/21/2017 9:50,73.8064,72.55018,72.38365
9/21/2017 10:00,74.45793,72.55018,72.68177
9/21/2017 10:10,75.09619,72.55018,72.98771
9/21/2017 10:20,75.43378,72.55018,72.98771
9/21/2017 10:30,75.78178,72.55018,73.2876
9/21/2017 10:40,77.12339,72.55018,73.89227
9/21/2017 10:50,77.12339,72.55018,74.49717
9/21/2017 11:00,78.12672,72.55018,75.09136
9/21/2017 11:10,78.12672,72.55018,74.7943
9/21/2017 11:20,78.48499,72.2507,75.09582
9/21/2017 11:30,78.48499,72.2507,75.69404
9/21/2017 11:40,79.17004,72.2507,76.29259
9/21/2017 11:50,80.48418,72.2507,76.59215
9/21/2017 12:00,80.4834,72.2507,76.59215
9/21/2017 12:10,81.83358,72.2507,76.89253
9/21/2017 12:20,81.52317,72.2507,77.48884
9/21/2017 12:30,81.52317,72.2507,77.4884
9/21/2017 12:40,82.82084,72.2507,77.78696
9/21/2017 12:50,82.77716,72.2507,77.78522
9/21/2017 13:00,82.75314,72.2507,77.78251
9/21/2017 13:10,82.44377,72.2507,78.68249
9/21/2017 13:20,82.84357,72.2507,78.37688
9/21/2017 13:30,83.53314,72.2507,78.67527
9/21/2017 13:40,83.53314,72.54949,78.67648
9/21/2017 13:50,83.82146,72.54949,78.68275
9/21/2017 14:00,83.51824,72.54949,78.68275
9/21/2017 14:10,83.83041,72.54949,79.28069
9/21/2017 14:20,83.83041,72.54949,79.89515
9/21/2017 14:30,84.13074,72.54949,80.20293
9/21/2017 14:40,84.84548,72.54949,80.79886
9/21/2017 14:50,84.8464,72.54949,81.09883
9/21/2017 15:00,84.8464,72.54949,81.70174
9/21/2017 15:10,85.14706,72.54949,81.70174
9/21/2017 15:20,85.14706,72.54949,81.70695
9/21/2017 15:30,85.46467,72.54949,81.70695
9/21/2017 15:40,85.51334,72.54949,81.40647
9/21/2017 15:50,85.51334,72.54949,81.40647
9/21/2017 16:00,85.20975,72.54949,81.7005
9/21/2017 16:10,85.52964,72.54949,81.39332
9/21/2017 16:20,84.88245,72.54949,81.08859
9/21/2017 16:30,84.88245,72.24839,80.78827
9/21/2017 16:40,84.88245,72.24839,80.78827
9/21/2017 16:50,84.88245,72.24839,80.78827
9/21/2017 17:00,84.88245,72.24839,80.18883
9/21/2017 17:10,84.56205,72.24839,80.48614
9/21/2017 17:20,84.87622,72.24839,80.48614
9/21/2017 17:30,84.56902,72.24839,80.78326
9/21/2017 17:40,84.56902,72.24839,80.78326
9/21/2017 17:50,84.89399,72.24839,80.78326
9/21/2017 18:00,84.28825,72.24839,80.4838
9/21/2017 18:10,83.66069,72.24839,79.88516
9/21/2017 18:20,83.33453,72.24839,79.58718
9/21/2017 18:30,82.71516,72.24839,78.98535
9/21/2017 18:40,82.0954,72.24839,78.68676
9/21/2017 18:50,81.47892,72.24839,78.08638
9/21/2017 19:00,80.87354,72.24839,77.78857
9/21/2017 19:10,80.57542,72.24839,77.19183
9/21/2017 19:20,79.94907,72.24839,76.89373
9/21/2017 19:30,79.64196,72.55219,76.59634
9/21/2017 19:40,79.00683,72.55219,76.59634
9/21/2017 19:50,79.00683,72.55219,76.29932
9/21/2017 20:00,78.70888,72.85634,76.0022
9/21/2017 20:10,78.40791,72.85634,76.0022
9/21/2017 20:20,78.0947,72.85634,75.40088
9/21/2017 20:30,78.0947,72.85634,75.40088
9/21/2017 20:40,78.0947,72.85634,75.40088
9/21/2017 20:50,77.78858,72.85634,75.40088
9/21/2017 21:00,77.48856,72.85634,75.1038
9/21/2017 21:10,77.48856,72.85634,75.1038
9/21/2017 21:20,77.18463,72.85634,75.1038
9/21/2017 21:30,76.88668,72.85634,75.1038
9/21/2017 21:40,76.55953,72.85634,75.1038
9/21/2017 21:50,76.55953,72.85634,75.1038
9/21/2017 22:00,76.25885,72.85634,75.1038
9/21/2017 22:10,76.25885,72.85634,75.1038
9/21/2017 22:20,75.9409,72.85634,75.1038
9/21/2017 22:30,75.63235,72.85634,75.1038
9/21/2017 22:40,75.31519,72.85634,75.1038
9/21/2017 22:50,75.00734,72.85634,74.80656
9/21/2017 23:00,74.69041,72.85634,74.50729
9/21/2017 23:10,74.69041,72.85634,74.20847
9/21/2017 23:20,74.69041,72.85634,73.91026
9/21/2017 23:30,74.37907,72.85634,74.20955
9/21/2017 23:40,74.37907,72.85634,74.20955
9/21/2017 23:50,74.37907,72.85634,74.20955
9/22/2017 0:00,73.14109,72.85634,73.31505
9/22/2017 0:10,73.44359,72.85634,73.31377
9/22/2017 0:20,73.44359,72.85634,73.31377
9/22/2017 0:30,73.12801,72.85634,73.01624
9/22/2017 0:40,72.5133,72.85634,73.01624
9/22/2017 0:50,71.88049,72.85634,72.71778
9/22/2017 1:00,73.18913,72.85634,72.41993
9/22/2017 1:10,73.18913,72.85634,72.41993
9/22/2017 1:20,73.18913,72.85634,72.41993
